category,data_source,freq,tickers,cut,fields,vendor_tickers,local-close,ldn-close,,
fx,quandl,daily,EURUSD,NYC,close,FRED/DEXUSEU,5:00pm NYC,,,
fx,quandl,daily,GBPUSD,NYC,close,FRED/DEXUSUK,5:00pm NYC,,,
fx,quandl,daily,AUDUSD,NYC,close,FRED/DEXUSAL,5:00pm NYC,,,
fx,quandl,daily,NZDUSD,NYC,close,FRED/DEXUSNZ,5:00pm NYC,,,
fx,quandl,daily,USDCAD,NYC,close,FRED/DEXCAUS,5:00pm NYC,,,
fx,quandl,daily,USDCHF,NYC,close,FRED/DEXSZUS,5:00pm NYC,,,
fx,quandl,daily,USDNOK,NYC,close,FRED/DEXNOUS,5:00pm NYC,,,
fx,quandl,daily,USDSEK,NYC,close,FRED/DEXSDUS,5:00pm NYC,,,
fx,quandl,daily,USDJPY,NYC,close,FRED/DEXJPUS,5:00pm NYC,,,
fx,eikon,daily,EURUSD,NYC,"close,open,high,low",EUR=,5:00pm NYC,,,
fx,eikon,daily,GBPUSD,NYC,"close,open,high,low",GBP=,5:00pm NYC,,,
fx,eikon,daily,AUDUSD,NYC,"close,open,high,low",AUD=,5:00pm NYC,,,
fx,eikon,daily,NZDUSD,NYC,"close,open,high,low",NZD=,5:00pm NYC,,,
fx,eikon,daily,USDCAD,NYC,"close,open,high,low",CAD=,5:00pm NYC,,,
fx,eikon,daily,USDCHF,NYC,"close,open,high,low",CHF=,5:00pm NYC,,,
fx,eikon,daily,USDNOK,NYC,"close,open,high,low",NOK=,5:00pm NYC,,,
fx,eikon,daily,USDSEK,NYC,"close,open,high,low",SEK=,5:00pm NYC,,,
fx,eikon,daily,USDJPY,NYC,"close,open,high,low",JPY=,5:00pm NYC,,,
fx,eikon,intraday,EURUSD,NYC,"close,open,high,low",EUR=,5:00pm NYC,,,
fx,eikon,intraday,GBPUSD,NYC,"close,open,high,low",GBP=,5:00pm NYC,,,
fx,eikon,intraday,AUDUSD,NYC,"close,open,high,low",AUD=,5:00pm NYC,,,
fx,eikon,intraday,NZDUSD,NYC,"close,open,high,low",NZD=,5:00pm NYC,,,
fx,eikon,intraday,USDCAD,NYC,"close,open,high,low",CAD=,5:00pm NYC,,,
fx,eikon,intraday,USDCHF,NYC,"close,open,high,low",CHF=,5:00pm NYC,,,
fx,eikon,intraday,USDNOK,NYC,"close,open,high,low",NOK=,5:00pm NYC,,,
fx,eikon,intraday,USDSEK,NYC,"close,open,high,low",SEK=,5:00pm NYC,,,
fx,eikon,intraday,USDJPY,NYC,"close,open,high,low",JPY=,5:00pm NYC,,,
fx,eikon,tick,EURUSD,NYC,"bid,ask",EUR=,5:00pm NYC,,,
fx,eikon,tick,GBPUSD,NYC,"bid,ask",GBP=,5:00pm NYC,,,
fx,eikon,tick,AUDUSD,NYC,"bid,ask",AUD=,5:00pm NYC,,,
fx,eikon,tick,NZDUSD,NYC,"bid,ask",NZD=,5:00pm NYC,,,
fx,eikon,tick,USDCAD,NYC,"bid,ask",CAD=,5:00pm NYC,,,
fx,eikon,tick,USDCHF,NYC,"bid,ask",CHF=,5:00pm NYC,,,
fx,eikon,tick,USDNOK,NYC,"bid,ask",NOK=,5:00pm NYC,,,
fx,eikon,tick,USDSEK,NYC,"bid,ask",SEK=,5:00pm NYC,,,
fx,eikon,tick,USDJPY,NYC,"bid,ask",JPY=,5:00pm NYC,,,
fx,dukascopy,tick,EURUSD,NYC,"bid,ask,bidv,askv,volume",EURUSD,5:00pm NYC,,,
fx,dukascopy,tick,GBPUSD,NYC,"bid,ask,bidv,askv,volume",GBPUSD,5:00pm NYC,,,
fx,dukascopy,tick,AUDUSD,NYC,"bid,ask,bidv,askv,volume",AUDUSD,5:00pm NYC,,,
fx,dukascopy,tick,NZDUSD,NYC,"bid,ask,bidv,askv,volume",NZDUSD,5:00pm NYC,,,
fx,dukascopy,tick,USDCAD,NYC,"bid,ask,bidv,askv,volume",USDCAD,5:00pm NYC,,,
fx,dukascopy,tick,USDCHF,NYC,"bid,ask,bidv,askv,volume",USDCHF,5:00pm NYC,,,
fx,dukascopy,tick,USDNOK,NYC,"bid,ask,bidv,askv,volume",USDNOK,5:00pm NYC,,,
fx,dukascopy,tick,USDSEK,NYC,"bid,ask,bidv,askv,volume",USDSEK,5:00pm NYC,,,
fx,dukascopy,tick,USDJPY,NYC,"bid,ask,bidv,askv,volume",USDJPY,5:00pm NYC,,,
fx,dukascopy,tick,EURCHF,NYC,"bid,ask,bidv,askv,volume",EURCHF,5:00pm NYC,,,
fx,dukascopy,tick,AUDCAD,NYC,"bid,ask,bidv,askv,volume",AUDCAD,5:00pm NYC,,,
fx,dukascopy,tick,AUDCHF,NYC,"bid,ask,bidv,askv,volume",AUDCHF,5:00pm NYC,,,
fx,dukascopy,tick,AUDJPY,NYC,"bid,ask,bidv,askv,volume",AUDJPY,5:00pm NYC,,,
fx,dukascopy,tick,AUDNZD,NYC,"bid,ask,bidv,askv,volume",AUDNZD,5:00pm NYC,,,
fx,dukascopy,tick,AUDSGD,NYC,"bid,ask,bidv,askv,volume",AUDSGD,5:00pm NYC,,,
fx,dukascopy,tick,CADCHF,NYC,"bid,ask,bidv,askv,volume",CADCHF,5:00pm NYC,,,
fx,dukascopy,tick,CADHKD,NYC,"bid,ask,bidv,askv,volume",CADHKD,5:00pm NYC,,,
fx,dukascopy,tick,CADJPY,NYC,"bid,ask,bidv,askv,volume",CADJPY,5:00pm NYC,,,
fx,dukascopy,tick,CHFJPY,NYC,"bid,ask,bidv,askv,volume",CHFJPY,5:00pm NYC,,,
fx,dukascopy,tick,CHFPLN,NYC,"bid,ask,bidv,askv,volume",CHFPLN,5:00pm NYC,,,
fx,dukascopy,tick,CHFSGD,NYC,"bid,ask,bidv,askv,volume",CHFSGD,5:00pm NYC,,,
fx,dukascopy,tick,EURAUD,NYC,"bid,ask,bidv,askv,volume",EURAUD,5:00pm NYC,,,
fx,dukascopy,tick,EURCAD,NYC,"bid,ask,bidv,askv,volume",EURCAD,5:00pm NYC,,,
fx,dukascopy,tick,EURDKK,NYC,"bid,ask,bidv,askv,volume",EURDKK,5:00pm NYC,,,
fx,dukascopy,tick,EURGBP,NYC,"bid,ask,bidv,askv,volume",EURGBP,5:00pm NYC,,,
fx,dukascopy,tick,EURHKD,NYC,"bid,ask,bidv,askv,volume",EURHKD,5:00pm NYC,,,
fx,dukascopy,tick,EURJPY,NYC,"bid,ask,bidv,askv,volume",EURJPY,5:00pm NYC,,,
fx,dukascopy,tick,EURNOK,NYC,"bid,ask,bidv,askv,volume",EURNOK,5:00pm NYC,,,
fx,dukascopy,tick,EURNZD,NYC,"bid,ask,bidv,askv,volume",EURNZD,5:00pm NYC,,,
fx,dukascopy,tick,EURPLN,NYC,"bid,ask,bidv,askv,volume",EURPLN,5:00pm NYC,,,
fx,dukascopy,tick,EURRUB,NYC,"bid,ask,bidv,askv,volume",EURRUB,5:00pm NYC,,,
fx,dukascopy,tick,EURSEK,NYC,"bid,ask,bidv,askv,volume",EURSEK,5:00pm NYC,,,
fx,dukascopy,tick,EURSGD,NYC,"bid,ask,bidv,askv,volume",EURSGD,5:00pm NYC,,,
fx,dukascopy,tick,EURTRY,NYC,"bid,ask,bidv,askv,volume",EURTRY,5:00pm NYC,,,
fx,dukascopy,tick,GBPAUD,NYC,"bid,ask,bidv,askv,volume",GBPAUD,5:00pm NYC,,,
fx,dukascopy,tick,GBPCAD,NYC,"bid,ask,bidv,askv,volume",GBPCAD,5:00pm NYC,,,
fx,dukascopy,tick,GBPCHF,NYC,"bid,ask,bidv,askv,volume",GBPCHF,5:00pm NYC,,,
fx,dukascopy,tick,GBPJPY,NYC,"bid,ask,bidv,askv,volume",GBPJPY,5:00pm NYC,,,
fx,dukascopy,tick,GBPNZD,NYC,"bid,ask,bidv,askv,volume",GBPNZD,5:00pm NYC,,,
fx,dukascopy,tick,NZDCAD,NYC,"bid,ask,bidv,askv,volume",NZDCAD,5:00pm NYC,,,
fx,dukascopy,tick,NZDCHF,NYC,"bid,ask,bidv,askv,volume",NZDCHF,5:00pm NYC,,,
fx,dukascopy,tick,NZDJPY,NYC,"bid,ask,bidv,askv,volume",NZDJPY,5:00pm NYC,,,
fx,dukascopy,tick,SGDJPY,NYC,"bid,ask,bidv,askv,volume",SGDJPY,5:00pm NYC,,,
fx,dukascopy,tick,TRYJPY,NYC,"bid,ask,bidv,askv,volume",TRYJPY,5:00pm NYC,,,
fx,dukascopy,tick,USDCNH,NYC,"bid,ask,bidv,askv,volume",USDCNH,5:00pm NYC,,,
fx,dukascopy,tick,USDDKK,NYC,"bid,ask,bidv,askv,volume",USDDKK,5:00pm NYC,,,
fx,dukascopy,tick,USDHKD,NYC,"bid,ask,bidv,askv,volume",USDHKD,5:00pm NYC,,,
fx,dukascopy,tick,USDMXN,NYC,"bid,ask,bidv,askv,volume",USDMXN,5:00pm NYC,,,
fx,dukascopy,tick,USDPLN,NYC,"bid,ask,bidv,askv,volume",USDPLN,5:00pm NYC,,,
fx,dukascopy,tick,USDRUB,NYC,"bid,ask,bidv,askv,volume",USDRUB,5:00pm NYC,,,
fx,dukascopy,tick,USDSGD,NYC,"bid,ask,bidv,askv,volume",USDSGD,5:00pm NYC,,,
fx,dukascopy,tick,USDTRY,NYC,"bid,ask,bidv,askv,volume",USDTRY,5:00pm NYC,,,
fx,dukascopy,tick,USDZAR,NYC,"bid,ask,bidv,askv,volume",USDZAR,5:00pm NYC,,,
fx,dukascopy,tick,ZARJPY,NYC,"bid,ask,bidv,askv,volume",ZARJPY,5:00pm NYC,,,
fx,fxcm,tick,EURUSD,NYC,"bid,ask",EURUSD,5:00pm NYC,,,
fx,fxcm,tick,GBPUSD,NYC,"bid,ask",GBPUSD,5:00pm NYC,,,
fx,fxcm,tick,AUDUSD,NYC,"bid,ask",AUDUSD,5:00pm NYC,,,
fx,fxcm,tick,NZDUSD,NYC,"bid,ask",NZDUSD,5:00pm NYC,,,
fx,fxcm,tick,USDCAD,NYC,"bid,ask",USDCAD,5:00pm NYC,,,
fx,fxcm,tick,USDCHF,NYC,"bid,ask",USDCHF,5:00pm NYC,,,
fx,fxcm,tick,USDNOK,NYC,"bid,ask",USDNOK,5:00pm NYC,,,
fx,fxcm,tick,USDSEK,NYC,"bid,ask",USDSEK,5:00pm NYC,,,
fx,fxcm,tick,USDJPY,NYC,"bid,ask",USDJPY,5:00pm NYC,,,
fx,bloomberg,daily,EURUSD,BGN,"close,open,high,low",EURUSD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,GBPUSD,BGN,"close,open,high,low",GBPUSD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,AUDUSD,BGN,"close,open,high,low",AUDUSD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,NZDUSD,BGN,"close,open,high,low",NZDUSD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDUSD,BGN,"close,open,high,low",USD Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCAD,BGN,"close,open,high,low",USDCAD BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCHF,BGN,"close,open,high,low",USDCHF BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDNOK,BGN,"close,open,high,low",USDNOK BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDSEK,BGN,"close,open,high,low",USDSEK BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDJPY,BGN,"close,open,high,low",USDJPY BGN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,DXYUSD,BGN,"close,open,high,low",DXY Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDBRL,BGN,"close,open,high,low",USDBRL BGN Curncy,Local close,,,
fx,bloomberg,daily,USDMXN,BGN,"close,open,high,low",USDMXN BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCLP,BGN,"close,open,high,low",USDCLP BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCOP,BGN,"close,open,high,low",USDCOP BGN Curncy,Local close,,,
fx,bloomberg,daily,USDPLN,BGN,"close,open,high,low",USDPLN BGN Curncy,Local close,,,
fx,bloomberg,daily,USDHUF,BGN,"close,open,high,low",USDHUF BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCZK,BGN,"close,open,high,low",USDCZK BGN Curncy,Local close,,,
fx,bloomberg,daily,USDILS,BGN,"close,open,high,low",USDILS BGN Curncy,Local close,,,
fx,bloomberg,daily,USDRUB,BGN,"close,open,high,low",USDRUB BGN Curncy,Local close,,,
fx,bloomberg,daily,USDZAR,BGN,"close,open,high,low",USDZAR BGN Curncy,Local close,,,
fx,bloomberg,daily,USDTRY,BGN,"close,open,high,low",USDTRY BGN Curncy,Local close,,,
fx,bloomberg,daily,USDKRW,BGN,"close,open,high,low",USDKRW BGN Curncy,Local close,,,
fx,bloomberg,daily,USDTWD,BGN,"close,open,high,low",USDTWD BGN Curncy,Local close,,,
fx,bloomberg,daily,USDMYR,BGN,"close,open,high,low",USDMYR BGN Curncy,Local close,,,
fx,bloomberg,daily,USDINR,BGN,"close,open,high,low",USDINR BGN Curncy,Local close,,,
fx,bloomberg,daily,USDIDR,BGN,"close,open,high,low",USDIDR BGN Curncy,Local close,,,
fx,bloomberg,daily,USDSGD,BGN,"close,open,high,low",USDSGD BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCNY,BGN,"close,open,high,low",USDCNY BGN Curncy,Local close,,,
fx,bloomberg,daily,USDCNH,BGN,"close,open,high,low",USDCNH BGN Curncy,Local close,,,
fx,bloomberg,daily,XBTUSD,BGN,"close,open,high,low",XBTUSD BGN Curncy,Local close,,,
fx,bloomberg,daily,XAUUSD,BGN,"close,open,high,low",XAUUSD BGN Curncy,Local close,,,
fx,bloomberg,daily,XAGUSD,BGN,"close,open,high,low",XAGUSD BGN Curncy,Local close,,,
fx,bloomberg,daily,XBTUSD,BSTP,"close,open,high,low",XBTUSD BSTP Curncy,Local close,,,
fx,bloomberg,daily,XETUSD,BSTP,"close,open,high,low",XETUSD BSTP Curncy,Local close,,,
fx,bloomberg,daily,XLCUSD,BSTP,"close,open,high,low",XLCUSD BSTP Curncy,Local close,,,
fx,bloomberg,daily,XRPUSD,BSTP,"close,open,high,low",XRPUSD BSTP Curncy,Local close,,,
fx,bloomberg,daily,EURUSD,NYC,"close,open,high,low",EURUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,GBPUSD,NYC,"close,open,high,low",GBPUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,AUDUSD,NYC,"close,open,high,low",AUDUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,NZDUSD,NYC,"close,open,high,low",NZDUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDUSD,NYC,"close,open,high,low",USD Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCAD,NYC,"close,open,high,low",USDCAD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCHF,NYC,"close,open,high,low",USDCHF CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDNOK,NYC,"close,open,high,low",USDNOK CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDSEK,NYC,"close,open,high,low",USDSEK CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDJPY,NYC,"close,open,high,low",USDJPY CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,DXYUSD,NYC,"close,open,high,low",DXY Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDBRL,NYC,"close,open,high,low",USDBRL CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDMXN,NYC,"close,open,high,low",USDMXN CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCLP,NYC,"close,open,high,low",USDCLP CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCOP,NYC,"close,open,high,low",USDCOP CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDPLN,NYC,"close,open,high,low",USDPLN CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDHUF,NYC,"close,open,high,low",USDHUF CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCZK,NYC,"close,open,high,low",USDCZK CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDILS,NYC,"close,open,high,low",USDILS CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDRUB,NYC,"close,open,high,low",USDRUB CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDZAR,NYC,"close,open,high,low",USDZAR CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDTRY,NYC,"close,open,high,low",USDTRY CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDKRW,NYC,"close,open,high,low",USDKRW CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDTWD,NYC,"close,open,high,low",USDTWD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDMYR,NYC,"close,open,high,low",USDMYR CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDINR,NYC,"close,open,high,low",USDINR CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDIDR,NYC,"close,open,high,low",USDIDR CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDSGD,NYC,"close,open,high,low",USDSGD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCNY,NYC,"close,open,high,low",USDCNY CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,USDCNH,NYC,"close,open,high,low",USDCNH CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,XAUUSD,NYC,"close,open,high,low",XAUUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,XAGUSD,NYC,"close,open,high,low",XAGUSD CMPN Curncy,5:00pm NYC,,,
fx,bloomberg,daily,EURUSD,TOK,"close,open,high,low",EURUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,GBPUSD,TOK,"close,open,high,low",GBPUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,AUDUSD,TOK,"close,open,high,low",AUDUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,NZDUSD,TOK,"close,open,high,low",NZDUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDUSD,TOK,"close,open,high,low",USD Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCAD,TOK,"close,open,high,low",USDCAD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCHF,TOK,"close,open,high,low",USDCHF CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDNOK,TOK,"close,open,high,low",USDNOK CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDSEK,TOK,"close,open,high,low",USDSEK CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDJPY,TOK,"close,open,high,low",USDJPY CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDBRL,TOK,"close,open,high,low",USDBRL CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDMXN,TOK,"close,open,high,low",USDMXN CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCLP,TOK,"close,open,high,low",USDCLP CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCOP,TOK,"close,open,high,low",USDCOP CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDPLN,TOK,"close,open,high,low",USDPLN CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDHUF,TOK,"close,open,high,low",USDHUF CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCZK,TOK,"close,open,high,low",USDCZK CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDILS,TOK,"close,open,high,low",USDILS CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDRUB,TOK,"close,open,high,low",USDRUB CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDZAR,TOK,"close,open,high,low",USDZAR CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDTRY,TOK,"close,open,high,low",USDTRY CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDKRW,TOK,"close,open,high,low",USDKRW CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDTWD,TOK,"close,open,high,low",USDTWD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDMYR,TOK,"close,open,high,low",USDMYR CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDINR,TOK,"close,open,high,low",USDINR CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDIDR,TOK,"close,open,high,low",USDIDR CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDSGD,TOK,"close,open,high,low",USDSGD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCNY,TOK,"close,open,high,low",USDCNY CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,USDCNH,TOK,"close,open,high,low",USDCNH CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,XAUUSD,TOK,"close,open,high,low",XAUUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,XAGUSD,TOK,"close,open,high,low",XAGUSD CMPT Curncy,8:00pm TOK,,,
fx,bloomberg,daily,EURUSD,LDN,"close,open,high,low",EURUSD CMPL Curncy,6:00pm LDN,,,
fx,bloomberg,daily,GBPUSD,LDN,"close,open,high,low",GBPUSD CMPL Curncy,6:00pm LDN,,,
